asset_id,title,language,content_type,source_platform,source_url,creator,author,translator,illustrator,speaker,license,license_url,commercial_use,remix_allowed,share_alike,attribution_required,attribution_text,changes_made,date_verified,verified_by,verification_method,local_file,content_hash,BuddyAR_use,status,notes
sw-story-ana-alyawm,"أنا اليوم (Ana al-Yawm / ""Today I Am"")",ar,story,StoryWeaver (Pratham Books),https://storyweaver.org.in/en/search?query=&search%5Bkeywords%5D=&languages%5B%5D=Arabic,Pratham Books,Varsha Seshan,,,,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,true,true,false,true,"""Ana al-Yawm"" by Varsha Seshan, © Pratham Books, licensed CC BY 4.0. Source: StoryWeaver. Changes: [record on adaptation]. [DRAFT — confirm translator/illustrator from the individual story page before use.]",,2026-07-02,Claude (automated research assistant),"StoryWeaver platform confirmed uniformly CC-BY-4.0 (publisher docs, 2026-07-02); author identified from Education Above All PDF mirror (book 235891). INDIVIDUAL story page NOT opened (sandbox network blocked) — illustrator/translator and per-page CC-BY-4.0 badge still to be confirmed.",,,children's foundational reading; read-along candidate,needs-human-review,"Real, resolvable candidate. StoryWeaver is one of the few platforms with uniform CC-BY-4.0, but per-item metadata (illustrator, translator) must still be captured from the story page. Do not assume derivatives/translations carry identical metadata."
sw-story-pool-arabic,StoryWeaver Arabic story pool (for expansion to ~10 beginner stories),ar,story,StoryWeaver (Pratham Books),https://storyweaver.org.in/en/search?tags=arabic,Pratham Books and community authors,,,,,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,true,true,false,true,,,2026-07-02,Claude (automated research assistant),Platform-level license only (CC-BY-4.0). Pool entry — each story must be split into its own row and its individual page verified before approval.,,,source pool for beginner reading stories,candidate,"POOL, not a single asset. Next step: pick ~10 Level 1-2 Arabic stories, create one row each, open each story page, record author/illustrator/translator, confirm CC-BY-4.0."
cv-audio-arabic-corpus,Mozilla Common Voice — Arabic (scripted speech),ar,audio,Mozilla Common Voice,https://commonvoice.mozilla.org/ar/datasets,Mozilla Foundation + volunteer contributors,,,,many (crowd),CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,true,true,false,false,Contains audio from the Mozilla Common Voice Arabic dataset (CC0). Attribution not legally required; credit given voluntarily.,,2026-07-02,Claude (automated research assistant),Common Voice license confirmed CC0 via Mozilla docs (2026-07-02). Dataset VERSION and retrieval date NOT yet recorded; current Mozilla Data Collective distribution terms NOT yet confirmed for the specific version.,,,listening experiments; sampled pronunciation examples; internal model evaluation,needs-human-review,"CC0 but DO NOT mirror/redistribute the full corpus automatically. Prefer approved sampling / local research use. Before approval: record exact dataset version (e.g. CV Scripted Speech 24.0), retrieval date, and confirm current distribution terms + the 'do not re-identify speakers' condition."
ll-audio-arabic-pool,Lingua Libre — Arabic pronunciation recordings (word/letter clips),ar,audio,Lingua Libre (Wikimedia),https://commons.wikimedia.org/wiki/Category:Lingua_Libre_pronunciation-ara,individual Lingua Libre speakers,,,,per-clip (record individually),CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,true,true,true,true,,,2026-07-02,Claude (automated research assistant),Lingua Libre default license confirmed CC-BY-SA-4.0 (some clips CC0) via project docs (2026-07-02). INDIVIDUAL clip pages NOT opened (sandbox blocked). Each clip's speaker + exact license must be recorded from its Commons file page.,,,phonics / alphabet & word pronunciation audio,candidate,POOL. SHARE-ALIKE: any edited/derivative audio must remain CC-BY-SA-4.0 and be kept logically separate from proprietary BuddyAR audio. Some clips may be CC0 — verify per clip; do not assume the whole category is one license.
commons-image-arabic-alphabet-pool,Wikimedia Commons — Arabic alphabet / letter graphics,ar,image,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Arabic_alphabet,various Commons contributors,,,,,,,,,,,,,,,"Not verified. Commons files carry MIXED licenses (Public Domain, CC-BY, CC-BY-SA). Each file's status page must be read individually.",,,alphabet & vocabulary visual assets; flashcards,needs-human-review,POOL with MIXED per-file licenses. Do NOT treat the category as one license. Verify each file page; reject NC/ND; preserve public-domain rationale where claimed; do not assume old-looking = public domain.
sbc-listening-arabic-pool,Storybooks Canada — Arabic (text + studio audio),ar,listening,Storybooks Canada,https://www.storybookscanada.ca/stories/ar/,African Storybook / Storybooks Canada + translators & narrators,,,,,,,,,,true,,,,,"Not verified per-item. Platform is described as CC 4.0, but individual items may be CC-BY or CC-BY-NC, and text / translation / illustration / audio can differ. Verify each component separately.",,,matched Arabic text + audio; read-along listening exercises,needs-human-review,"Do NOT treat platform as uniformly CC-BY. Check text, translation, illustration, and audio licenses SEPARATELY per story. Approve only components that permit commercial use AND remix."
gdl-listening-arabic-pool,Global Digital Library — Arabic early-grade readers,ar,story,Global Digital Library,https://digitallibrary.io/?languages=ar,"various contributors (Palestine, Qatar and others)",,,,,,,,,,true,,,,,Not verified per-item. GDL recommends CC-BY but per-book license varies. Record the actual item license from each book page.,,,foundational reading; printable leveled readers,needs-human-review,POOL. Do not rely on platform-wide description; record the actual per-book license.
asb-story-arabic-pool,African Storybook — Arabic stories,ar,story,African Storybook,https://www.africanstorybook.org/,African Storybook / Saide + community,,,,,,,,,,true,,,,,Not verified per-item. Default is CC-BY-4.0 but creators may pick CC-BY-NC/ND. Verify each book; reject NC and ND.,,,children's readers; illustrations,needs-human-review,"POOL. Approve only CC-BY, CC0, or acceptable CC-BY-SA books. Reject NC/ND."
oer-worksheet-arabic-alphabet-drill,OER Commons — Alphabet Reading Drill (Reading Arabic Ads),ar,image,OER Commons,https://oercommons.org/authoring/4307-alphabet-reading-drill-reading-arabic-ads/view,OER Commons author (record from item page),,,,,,,,,,true,,,,,"Not verified. OER Commons items carry per-item licenses; must confirm CC0 / CC-BY / acceptable CC-BY-SA (reject NC, ND, all-rights-reserved, unclear).",,,teacher-created alphabet/phonics worksheet,needs-human-review,Teacher-created worksheet candidate. Confirm the exact license badge on the OER Commons item page before approval.
reject-bayna-yadayk-ia-scan,Al-Arabiyyah Bayna Yadayk (Internet Archive scan),ar,story,Internet Archive (third-party upload),https://archive.org/details/al-arabiyyah-bayna-yadayk_202306,Arabic for All (publisher),,,,,all-rights-reserved,,false,false,false,true,,,2026-07-02,Claude (automated research assistant),Identified as a third-party textbook scan; no open reuse license from the publisher.,,,"none (may be used only as a privately owned reference, never bundled/remixed)",rejected,"REJECTED: third-party textbook scan, no open license. Not cleared for redistribution or remixing inside BuddyAR."
